"#","FORM #","INCIDENT TITLE","INCIDENT DATE","LOCATION","DESCRIPTION","CATEGORY","APPROVED","VERIFIED"
"2148","1","Man Kills Wife  and Runs Away.","2020-01-24 13:06:00","Grand Cape Mount, Liberia","PBO January 24,2020, In Robertsport, Doelein District, Vah community, A man killed his wife in cold blood on December 10. 2019, the man ran away in the hole community, while the dead wife family are still grieving.","Grand Cape Mount,Murder","NO","NO"
"2147","1","A 35 years old man badly beat up his girl friend for Sex.","2020-01-24 13:29:00","Bong, Liberia Salala District","PBO On January 24.2020. In A99 Salala District Bong County a 35 years old man badly beat up his innocent girlfriend for refusing him sex. Neighbors call the Police on him and the Police took him straight to jail for investigation.","Bong,SGBV","YES","NO"
"2146","1","Land Dispute  between Sarkonedu Town and  Tarwulehs Familly from Marvinkonedu Town Quardu,  Gboni District Lofa County.","2020-01-28 10:34:00","Gboni District Lofa County, Liberia","On January 28, 2020, A conflict took place in the County between Former Town Chief of Sarkonedu Town and the Tarwulehs Familly from Marvinkonedu Town Quardu, Gboni District Lofa County. consending Claiming ownership on inheritance land since 1952 which was giving to the grandfather of  former Town chief, Therefore, issues resulted of cutting down the  plantation on the farm of former Town chief.","Land Dispute","YES","YES"
"2145","1","24 years old boy wanted to commit suicide in Grand Gedeh County","2020-01-24 15:55:00","Grand Gedeh, Liberia","PBO On January 24.2020 In Grand Gedeh County New Zwedru city, at the time 2:00pm a 24 years old boy wanted to commit suicide because of woman business.","Grand Gedeh,Suicide","YES","NO"
"2144","1","Man Severely Beats Wife in Cape Mount","2020-01-28 15:24:00","Kinjor, Gola Konneh District, Grand Cape Mount, Liberia","On January 28, 2020 in Kinjor Town, Gola Konneh District, Grand Cape Mount county, a man severely beat his wife and broke teeth because he suspected her of having an affair. He was arrested by the Police and the woman was taken to the clinic for treatment.","Grand Cape Mount,SGBV","YES","YES"
"2143","1","Dead Body of Unknown Person found in Bong","2020-01-27 15:02:00","Steven Tolbert Estate, Monrovia, Montserrado, Liberia","On January 27, 2020 the dead body of any unknown man was found at the Steven Tolbert estate junction Gardnersville Somalia drive, Monserrado county.","Montserrado,Unexplained death","YES","YES"
"2142","1","Fatal Road Accident in Gbarpolu","2020-01-28 11:14:00","Zuo Town, Gbarma District, Gbarpolu, Liberia","On January 28, 2020,  Zuo Town, Gbarma district, Gbarpolu county, a plank car had an accident while on their way to town. Two persons died and the others were sent to Bomi for medical treatment.","Gbarpolu,Accident","YES","YES"
"2141","1","Man Commits Suicide in Nimba","2020-01-19 11:21:00","Zuoton Town, Sanniquellie Mah District, Nimba, Liberia","On January l9, 2020, in Zuoton lower Nimba, a 42 year old man, haved kill him self with a single barrel gun in his bedroom.","Nimba,Suicide","YES","YES"
"2140","1","16 Years Old Girl Raped in Gbarpolu","2020-01-26 11:42:00","Bopolu, Liberia","A 16 years old girl was raped by her father in Wolla town, Bopolu district, Gbarpolu county on January 26, 2020","Rape,Gbarpolu","YES","YES"
"2139","1","15 Years Old Girl Raped in Cape Mount","2020-01-25 08:07:00","Pejuhum Town, Tewor District, Grand Cape Mount, Liberia","The 25th of January 2020, a 21 years old man raped a 15 years old girl in Pujehum town, Tewor District, Grand cape Mount County.","Rape,Grand Cape Mount","YES","YES"
